DEPARTAMENTO,MUNICIPIO,PA11_COD_ETNIA,POBLACION_2018
AMAZONAS,EL ENCANTO (AMA),1,1437.0
AMAZONAS,EL ENCANTO (AMA),100,28.0
AMAZONAS,EL ENCANTO (AMA),170,12.0
AMAZONAS,EL ENCANTO (AMA),220,7.0
AMAZONAS,EL ENCANTO (AMA),340,15.0
AMAZONAS,EL ENCANTO (AMA),380,1.0
AMAZONAS,EL ENCANTO (AMA),460,7.0
AMAZONAS,EL ENCANTO (AMA),480,1.0
AMAZONAS,EL ENCANTO (AMA),490,11.0
AMAZONAS,EL ENCANTO (AMA),660,19.0
AMAZONAS,EL ENCANTO (AMA),730,1127.0
AMAZONAS,EL ENCANTO (AMA),731,116.0
AMAZONAS,EL ENCANTO (AMA),770,2.0
AMAZONAS,EL ENCANTO (AMA),999,91.0
AMAZONAS,LA CHORRERA (AMA),1,2049.0
AMAZONAS,LA CHORRERA (AMA),30,14.0
AMAZONAS,LA CHORRERA (AMA),100,66.0
AMAZONAS,LA CHORRERA (AMA),140,1.0
AMAZONAS,LA CHORRERA (AMA),170,11.0
AMAZONAS,LA CHORRERA (AMA),200,1.0
AMAZONAS,LA CHORRERA (AMA),220,4.0
AMAZONAS,LA CHORRERA (AMA),310,1.0
AMAZONAS,LA CHORRERA (AMA),340,6.0
AMAZONAS,LA CHORRERA (AMA),380,18.0
AMAZONAS,LA CHORRERA (AMA),450,2.0
AMAZONAS,LA CHORRERA (AMA),460,9.0
AMAZONAS,LA CHORRERA (AMA),480,27.0
AMAZONAS,LA CHORRERA (AMA),490,123.0
AMAZONAS,LA CHORRERA (AMA),620,10.0
AMAZONAS,LA CHORRERA (AMA),660,12.0
AMAZONAS,LA CHORRERA (AMA),730,1466.0
AMAZONAS,LA CHORRERA (AMA),731,14.0
AMAZONAS,LA CHORRERA (AMA),740,1.0
AMAZONAS,LA CHORRERA (AMA),750,1.0
AMAZONAS,LA CHORRERA (AMA),770,2.0
AMAZONAS,LA CHORRERA (AMA),999,260.0
AMAZONAS,LA PEDRERA (AMA),1,3144.0
AMAZONAS,LA PEDRERA (AMA),30,1.0
AMAZONAS,LA PEDRERA (AMA),60,15.0
AMAZONAS,LA PEDRERA (AMA),70,78.0
AMAZONAS,LA PEDRERA (AMA),100,78.0
AMAZONAS,LA PEDRERA (AMA),110,32.0
AMAZONAS,LA PEDRERA (AMA),130,5.0
AMAZONAS,LA PEDRERA (AMA),140,145.0
AMAZONAS,LA PEDRERA (AMA),180,1.0
AMAZONAS,LA PEDRERA (AMA),220,111.0
AMAZONAS,LA PEDRERA (AMA),260,1.0
AMAZONAS,LA PEDRERA (AMA),380,173.0
AMAZONAS,LA PEDRERA (AMA),410,404.0
AMAZONAS,LA PEDRERA (AMA),450,189.0
AMAZONAS,LA PEDRERA (AMA),460,370.0
AMAZONAS,LA PEDRERA (AMA),480,2.0
AMAZONAS,LA PEDRERA (AMA),550,5.0
AMAZONAS,LA PEDRERA (AMA),600,1.0
AMAZONAS,LA PEDRERA (AMA),610,9.0
AMAZONAS,LA PEDRERA (AMA),620,437.0
AMAZONAS,LA PEDRERA (AMA),640,10.0
AMAZONAS,LA PEDRERA (AMA),660,42.0
AMAZONAS,LA PEDRERA (AMA),680,9.0
AMAZONAS,LA PEDRERA (AMA),690,8.0
AMAZONAS,LA PEDRERA (AMA),700,4.0
AMAZONAS,LA PEDRERA (AMA),730,81.0
AMAZONAS,LA PEDRERA (AMA),731,117.0
AMAZONAS,LA PEDRERA (AMA),740,21.0
AMAZONAS,LA PEDRERA (AMA),760,78.0
AMAZONAS,LA PEDRERA (AMA),770,674.0
AMAZONAS,LA PEDRERA (AMA),941,8.0
AMAZONAS,LA PEDRERA (AMA),999,35.0
AMAZONAS,LA VICTORIA (AMA),1,160.0
AMAZONAS,LA VICTORIA (AMA),70,2.0
AMAZONAS,LA VICTORIA (AMA),110,4.0
AMAZONAS,LA VICTORIA (AMA),450,5.0
