Departamento,Municipio_limpio,KeyMpio,PA11_COD_ETNIA,Pueblo,POBLACION_2018
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,25,Yamalero ,1.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,30,Andoke,3.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,40,Arhuaco,31.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,50,Wiwa,12.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,60,Bara,1.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,70,Barasano,4.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,80,Bari ,4.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,90,Betoye,2.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,110,Kawiyarí ,4.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,130,Carapana,1.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,150,Chimila ,4.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,160,Chiricoa ,7.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,170,Cocama ,2.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,180,Coconuco ,4.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,190,Coreguaje,3.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,200,Pijao,48.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,210,Awá,1.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,220,Cubeo,6.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,240,Cuna Tule ,36.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,260,Desano,6.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,270,Dujos,1.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,280,Emberá,167.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,281,Emberá Katío,211.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,282,Emberá Chamí ,355.0
ANTIOQUIA,MEDELLÍN,ANTIOQUIA|MEDELLÍN,283,Eperara Siapidara ,4.0
